DateTime,BidQty1,BidPrice1,BidQty2,BidPrice2,BidQty3,BidPrice3,BidQty4,BidPrice4,BidQty5,BidPrice5,BidQty6,BidPrice6,BidQty7,BidPrice7,BidQty8,BidPrice8,BidQty9,BidPrice9,BidQty10,BidPrice10,AskQty1,AskPrice1,AskQty2,AskPrice2,AskQty3,AskPrice3,AskQty4,AskPrice4,AskQty5,AskPrice5,AskQty6,AskPrice6,AskQty7,AskPrice7,AskQty8,AskPrice8,AskQty9,AskPrice9,AskQty10,AskPrice10,mid_price
2025-06-03 09:42:52,486,310.37,61,310.36,54,310.35,269,310.34,503,310.33,1000,310.32,731,310.31,73,310.3,30,310.29,750,310.28,70,310.49,12,310.51,3,310.52,100,310.53,60,310.54,222,310.56,104,310.57,185,310.59,117,310.6,185,310.61,310.43
2025-06-03 09:43:02,283,310.39,845,310.38,486,310.37,61,310.36,102,310.35,234,310.34,503,310.33,1000,310.32,731,310.31,73,310.3,61,310.5,3,310.52,9,310.53,60,310.55,162,310.57,141,310.58,35,310.59,36,310.6,35,310.61,155,310.62,310.445
2025-06-03 09:43:12,283,310.39,845,310.38,534,310.37,61,310.36,54,310.35,234,310.34,503,310.33,1000,310.32,1231,310.31,73,310.3,39,310.51,12,310.52,222,310.57,108,310.58,41,310.59,135,310.6,68,310.61,155,310.62,335,310.63,335,310.64,310.45
2025-06-03 09:43:22,344,310.4,186,310.39,545,310.38,234,310.37,61,310.36,54,310.35,234,310.34,503,310.33,1000,310.32,1231,310.31,41,310.51,11,310.52,60,310.55,162,310.57,108,310.58,35,310.59,35,310.6,68,310.61,135,310.62,35,310.63,310.455
2025-06-03 09:43:32,186,310.39,593,310.38,36,310.37,61,310.36,19,310.35,355,310.34,503,310.33,1150,310.32,1231,310.31,81,310.3,33,310.52,6,310.53,60,310.56,222,310.59,83,310.6,35,310.61,35,310.62,164,310.63,135,310.64,505,310.65,310.455
2025-06-03 09:43:42,186,310.39,593,310.38,36,310.37,661,310.36,519,310.35,110,310.34,503,310.33,1158,310.32,731,310.31,78,310.3,35,310.52,6,310.53,60,310.57,270,310.59,35,310.6,35,310.61,35,310.62,258,310.63,35,310.64,505,310.65,310.455
2025-06-03 09:43:52,545,310.38,36,310.37,661,310.36,567,310.35,110,310.34,511,310.33,1150,310.32,731,310.31,78,310.3,30,310.29,108,310.57,162,310.58,67,310.59,35,310.6,74,310.61,285,310.62,35,310.63,35,310.64,205,310.65,426,310.66,310.475
2025-06-03 09:44:02,192,310.44,683,310.43,194,310.42,135,310.41,44,310.4,151,310.39,510,310.38,1,310.37,184,310.36,519,310.35,160,310.61,12,310.62,144,310.64,275,310.65,335,310.66,435,310.67,785,310.68,75,310.69,3567,310.7,105,310.71,310.525
2025-06-03 09:44:12,344,310.42,135,310.41,44,310.4,234,310.39,510,310.38,34,310.37,626,310.36,519,310.35,720,310.34,503,310.33,100,310.59,67,310.6,48,310.61,93,310.62,185,310.63,117,310.64,355,310.65,335,310.66,435,310.67,785,310.68,310.505
2025-06-03 09:44:22,125,310.45,335,310.44,459,310.43,344,310.42,135,310.41,92,310.4,186,310.39,510,310.38,34,310.37,626,310.36,100,310.59,67,310.6,48,310.61,93,310.62,185,310.63,111,310.64,361,310.65,335,310.66,435,310.67,785,310.68,310.52
2025-06-03 09:44:32,95,310.46,147,310.45,35,310.44,635,310.43,309,310.42,100,310.41,1417,310.4,251,310.39,510,310.38,1,310.37,60,310.65,15,310.66,345,310.67,785,310.68,81,310.69,3567,310.7,153,310.71,135,310.72,36,310.73,35,310.74,310.55499999999995
2025-06-03 09:44:42,35,310.51,35,310.5,145,310.49,209,310.48,199,310.47,435,310.46,36,310.45,250,310.44,1600,310.43,329,310.42,579,310.68,99,310.69,3567,310.7,105,310.71,35,310.72,96,310.73,35,310.74,35,310.75,135,310.76,96,310.77,310.595
2025-06-03 09:44:52,35,310.53,135,310.52,35,310.51,154,310.5,335,310.49,209,310.48,285,310.47,1185,310.46,1,310.45,100,310.44,143,310.68,64,310.69,3567,310.7,105,310.71,35,310.72,36,310.73,35,310.74,95,310.75,35,310.76,96,310.77,310.605
2025-06-03 09:45:02,35,310.58,35,310.57,33,310.54,189,310.53,600,310.52,1250,310.5,50,310.49,174,310.48,150,310.46,1001,310.45,3271,310.7,120,310.71,1,310.73,13,310.77,76,310.8,35,310.81,77,310.82,35,310.83,68,310.84,343,310.85,310.64
2025-06-03 09:45:12,35,310.58,35,310.57,33,310.54,185,310.53,600,310.52,1250,310.5,50,310.49,174,310.48,150,310.46,1001,310.45,3252,310.7,50,310.71,1,310.73,13,310.77,16,310.8,95,310.81,177,310.82,35,310.83,219,310.84,391,310.85,310.64
2025-06-03 09:45:22,3,310.74,150,310.7,5,310.69,500,310.67,400,310.66,250,310.65,300,310.63,1000,310.62,300,310.61,134,310.6,35,310.85,4,310.87,3,310.88,23,310.92,172,310.94,66,310.95,154,310.96,300,310.97,100,310.98,584,310.99,310.795
2025-06-03 09:45:32,8,310.74,150,310.7,500,310.67,400,310.66,251,310.65,131,310.64,300,310.63,1000,310.62,300,310.61,3,310.6,26,310.85,2,310.86,4,310.87,3,310.88,54,310.91,23,310.92,60,310.93,10,310.94,168,310.95,154,310.96,310.795
2025-06-03 09:45:42,8,310.74,150,310.7,500,310.67,400,310.66,251,310.65,131,310.64,300,310.63,1000,310.62,300,310.61,3,310.6,22,310.85,2,310.86,4,310.87,3,310.88,54,310.92,222,310.93,10,310.94,6,310.95,159,310.96,300,310.97,310.795
2025-06-03 09:45:52,8,310.74,150,310.7,500,310.67,400,310.66,251,310.65,131,310.64,300,310.63,1000,310.62,300,310.61,3,310.6,20,310.85,2,310.86,4,310.87,3,310.88,54,310.9,60,310.92,10,310.94,168,310.95,159,310.96,300,310.97,310.795
2025-06-03 09:46:02,8,310.74,750,310.73,150,310.7,500,310.67,400,310.66,251,310.65,131,310.64,300,310.63,1000,310.62,300,310.61,86,310.85,2,310.86,4,310.87,3,310.88,162,310.93,70,310.94,6,310.95,156,310.96,300,310.97,100,310.98,310.795
